id,country,ctz,descent,birthyr,gender,education,ipnews,vncnnews,vnusnews,cnusnews,tv,radio,internet,print,ppl,bri,interrelate,govtrust,vnbenefit,allbenefit,chinabenefit,supportbri,age
67,Viet Nam,Vietnamese,Vietnamese,1983,1,6,15,20,20,10,5,2,3,1,4,1,3,3,2,2,1,1,35
68,Viet Nam,Vietnamese,Vietnamese,1997,1,5,2,3,3,0,2,5,1,3,4,0,5,3,2,3,4,3,21
69,Viet Nam,Vietnamese,Vietnamese,1997,1,5,10,2,5,3,1,4,2,5,3,0,3,4,4,4,4,4,21
70,Viet Nam,Vietnamese,Vietnamese,1997,1,5,2,0,0,2,3,2,1,4,5,0,3,3,3,3,4,3,21
71,Viet Nam,Vietnamese,Vietnamese,1997,1,5,10,3,5,10,1,2,3,4,5,0,3,4,2,2,5,2,21
72,Viet Nam,Vietnamese,Vietnamese,1994,0,5,1,1,0,0,1,3,2,5,4,0,3,2,4,4,3,4,24
73,Viet Nam,Vietnamese,Vietnamese,1994,1,5,7,7,5,3,3,5,1,4,2,0,5,2,2,2,5,3,24
74,Viet Nam,Vietnamese,Vietnamese,1994,1,6,1,1,1,1,1,3,4,2,5,1,5,5,5,5,5,5,24
75,Viet Nam,Vietnamese,Vietnamese,1997,1,5,4,1,2,0,2,3,1,5,4,1,1,1,1,3,3,1,21
76,Viet Nam,Vietnamese,Vietnamese,1997,1,5,30,20,15,60,2,3,1,5,4,1,3,4,4,2,4,3,21
77,China,Chinese,Chinese,1995,1,5,30,0,0,4,2,3,1,4,5,1,2,3,3,3,3,3,23
78,US,Vietnamese,Vietnamese,1994,0,4,1,3,0,0,1,2,3,4,5,,,,,,,,24
79,US,US,Vietnamese,1999,0,3,1,0,0,0,3,4,1,5,2,0,2,2,4,4,5,3,19
81,US,Chinese,Chinese,1993,0,5,2,0,0,10,3,4,1,5,2,1,4,4,4,4,4,4,25
82,US,Chinese,Chinese,1997,1,3,20,10,2,10,3,4,1,5,2,0,4,4,4,4,4,4,21
83,US,Chinese,Chinese,1998,0,3,1,0,0,0,4,3,2,5,1,0,4,3,3,3,3,3,20
84,US,Vietnamese,Vietnamese,1998,1,4,3,2,0,0,3,5,1,4,2,0,4,3,3,3,3,4,20
85,US,Vietnamese,Vietnamese,1995,1,3,0,0,0,0,4,3,2,5,1,0,3,3,2,4,3,2,23
86,US,US,Chinese,2000,0,2,30,0,3,7,2,5,1,4,3,0,5,1,3,3,4,3,18
87,US,Chinese,Chinese,1996,0,3,1,0,0,2,3,5,1,4,2,0,4,3,4,3,4,4,22
88,US,Chinese,Chinese,1997,1,3,3,0,0,1,4,5,1,2,3,0,3,3,3,3,3,3,21
89,US,US,Chinese,2000,0,2,5,4,0,4,4,1,2,5,3,0,4,3,5,4,4,3,18
90,US,US,Chinese,2000,1,2,0,0,0,0,4,2,1,5,3,0,3,3,3,3,3,3,18
91,US,US,Chinese,1998,1,3,0,0,0,0,3,5,1,4,2,0,4,4,3,3,3,4,20
92,Viet Nam,Vietnamese,Vietnamese,1994,1,5,10,14,8,8,4,5,1,2,3,0,,,,,,,24
93,China,Chinese,Chinese,1996,0,5,5,0,0,6,2,5,1,4,3,1,4,5,3,5,5,5,22
94,China,Chinese,Chinese,1996,0,5,5,0,0,3,3,5,1,4,2,1,4,3,3,2,3,4,22
